******************************************************************************************************
*    Row   *       RunNum * LumiBlockNum *       EvtNum *           HT *          MHT *        NJets *
*    77740 *       199436 *          208 *    148632624 * 533.19512939 * 240.86485290 *            5 *
*    77855 *       199436 *          411 *    280757966 * 587.60534668 * 210.66432189 *            4 *
*    79799 *       199608 *          409 *    491416912 * 542.25122070 * 200.88780212 *            3 *
*    79926 *       199608 *          655 *    765087627 * 733.08502197 * 310.31512451 *            3 *
*    80075 *       199608 *          699 *    815591817 * 620.39398193 * 252.81018066 *            3 *
*    82412 *       199752 *           43 *     55001995 * 587.30212402 * 587.30023193 *            4 *
*    83016 *       199754 *          719 *    707944687 * 542.42993164 * 301.69692993 *            3 *
*    83080 *       199754 *          158 *    178945017 * 507.61468505 * 242.99307251 *            5 *
*    84075 *       198955 *         1130 *   1198459668 * 814.97973632 * 226.56384277 *            3 *
*    84384 *       205344 *          522 *    587591368 * 733.38806152 * 263.45196533 *            4 *
*    84387 *       205344 *          607 *    678014793 * 629.23907470 * 241.24197387 *            4 *
*    84705 *       205519 *          104 *    134718389 * 634.88592529 * 366.54193115 *            6 *
*    86144 *       205667 *          648 *    681964452 * 526.08422851 * 217.77282714 *            4 *
*    86231 *       205667 *          765 *    790109252 * 615.71386718 * 248.81227111 *            4 *
*    86804 *       205694 *          877 *    784460979 * 705.12316894 * 267.68963623 *            3 *
*    87395 *       205781 *           37 *     54346145 * 916.09527587 * 214.35475158 *            3 *
*    87564 *       205781 *          290 *    430648090 * 887.67706298 * 478.19650268 *            3 *
*    87924 *       205826 *          458 *    651242889 * 1066.5167236 * 319.33993530 *            4 *
*    88866 *       205921 *          773 *   1025946287 * 547.30578613 * 444.37173461 *            4 *
*    89650 *       206187 *          545 *    806934320 * 1417.2534179 * 356.77923584 *            5 *
*    90085 *       206207 *          460 *    684029369 * 1518.0941162 * 323.56854248 *            4 *
*    90182 *       206207 *          668 *    947666142 * 615.98229980 *  253.2237854 *            3 *
*    91233 *       206246 *          218 *    225299663 * 560.55810546 * 273.81115722 *            3 *
*    91290 *       206246 *          194 *    201548941 * 770.28112793 * 403.62359619 *            4 *
*    91294 *       206246 *          266 *    271621524 * 903.97265625 * 310.19540405 *            3 *
*    91452 *       206246 *          503 *    484666582 * 517.77410888 * 225.76737976 *            4 *
*    91466 *       206246 *          852 *    759512308 * 587.11132812 * 204.91839599 *            3 *
*    91611 *       206246 *         1004 *    866302581 * 561.60418701 * 391.33569335 *            3 *
*    91896 *       206303 *           52 *     66835281 * 509.12847900 * 267.87451171 *            4 *
*    92002 *       206303 *          154 *    189606768 * 625.31329345 * 226.41720581 *            4 *
*    92280 *       203987 *          478 *    558494473 * 595.07330322 * 317.38415527 *            4 *
*    92603 *       206401 *          108 *    112441535 * 514.51208496 * 239.60330200 *            3 *
*    92798 *       206401 *          405 *    623260990 * 1112.8116455 * 204.14230346 *            4 *
*    93539 *       206448 *          141 *    145997791 * 851.71563720 * 490.17462158 *            4 *
*    93596 *       206448 *          334 *    330706363 * 610.50445556 * 231.78822326 *            4 *
*    93749 *       206448 *          634 *    588448511 * 1015.9537353 * 254.50361633 *            5 *
*    93991 *       206466 *          162 *    299268669 * 799.51757812 * 245.67063903 *            3 *
*    94070 *       206466 *          400 *    669815217 * 522.32226562 * 218.13983154 *            3 *
*    94217 *       203894 *          100 *     69670103 * 512.68041992 * 244.74771118 *            3 *
*    94307 *       206466 *          342 *    587706361 * 898.68823242 * 236.42398071 *            6 *
*    95103 *       206512 *          102 *     66711353 * 1862.6571044 * 258.68722534 *            3 *
*    95274 *       206512 *          254 *    319776627 * 539.54608154 * 225.73106384 *            3 *
*    96503 *       206574 *           43 *     74799016 * 524.60260009 * 353.80926513 *            3 *
*    97025 *       206596 *          619 *    681524000 *  560.2109375 * 306.89175415 *            3 *
*    97106 *       206596 *          573 *    634731699 * 666.23614502 * 259.02227783 *            4 *
*    97203 *       206596 *          804 *    860377453 * 674.81494140 * 215.19165039 *            5 *
*    98068 *       206745 *          646 *    705259912 * 1031.0063476 * 321.67941284 *            5 *
*    98862 *       206859 *          414 *    628595412 * 891.60241699 * 371.45950317 *            4 *
*    99443 *       206869 *          441 *    428966313 * 568.31549072 * 207.09329223 *            4 *
*    99530 *       206869 *          187 *    192941613 * 582.65350341 * 215.61796569 *            3 *
*    99923 *       206940 *          485 *    604555267 * 632.30273437 * 206.45806884 *            5 *
*    99992 *       206940 *          163 *    226162204 * 521.80493164 * 319.47265625 *            3 *
*   100063 *       206940 *          145 *    202385492 * 612.54241943 * 223.31266784 *            3 *
*   100079 *       206940 *          187 *    257283634 * 543.08258056 * 526.83404541 *            3 *
*   100482 *       206940 *          905 *   1056083699 * 588.69317627 * 372.77584838 *            3 *
*   102148 *       207231 *          268 *    398959023 * 603.08837890 * 341.61849975 *            3 *
*   102326 *       207231 *          585 *    872070895 * 607.38885498 * 315.52380371 *            3 *
*   102389 *       207231 *          657 *    963824030 * 1218.6541748 * 1218.6400146 *            3 *
*   102630 *       207231 *         1236 *   1607287240 * 1133.5125732 * 221.83399963 *            5 *
*   103019 *       207269 *          519 *    697527636 * 663.60546875 * 203.29612731 *            3 *
*   103196 *       207273 *          465 *    518922584 * 527.93359375 * 220.10733032 *            3 *
*   103215 *       207273 *          468 *    522956211 * 524.93475341 * 408.86126709 *            3 *
*   103579 *       207279 *           78 *     60676459 * 2253.0332031 * 259.93026733 *            4 *
*   103622 *       207279 *          114 *    130491690 * 741.77453613 * 203.62249755 *            5 *
*   103746 *       207279 *          311 *    460229027 * 527.84906005 * 210.21034240 *            4 *
*   103861 *       207279 *          531 *    761207808 * 798.74267578 * 235.15419006 *            3 *
*   105413 *       207454 *         1041 *   1389578323 * 670.58837890 * 231.94486999 *            7 *
*   106776 *       207488 *          272 *    335605888 * 638.72436523 * 211.89172363 *            3 *
*   107686 *       207515 *          622 *    957534243 * 515.90960693 * 237.93835449 *            3 *
*   108220 *       207886 *           73 *     83957100 * 1001.1005249 * 521.45446777 *            4 *
*   109514 *       207905 *         1273 *   1595670294 * 742.32098388 * 250.96197509 *            5 *
*   109524 *       207905 *         1527 *   1833488770 * 1252.5855712 * 232.27705383 *            4 *
*   109652 *       204544 *          247 *    344524413 * 601.11407470 * 215.47361755 *            3 *
*   109887 *       207920 *          143 *    174486104 * 565.14508056 * 216.39901733 *            4 *
*   110035 *       207920 *          384 *    581555171 * 728.32849121 * 246.53746032 *            5 *
*   110121 *       207920 *          818 *   1136475755 * 686.54681396 * 484.63851928 *            3 *
*   111531 *       208341 *           18 *     22289498 * 840.36743164 * 220.52735900 *            6 *
*   111888 *       208341 *          541 *    613260780 * 624.33020019 * 317.71255493 *            4 *
*   112352 *       208357 *           61 *     61085047 * 692.33868408 * 499.33016967 *            3 *
*   112426 *       208357 *          264 *    277385882 * 519.26800537 * 246.22662353 *            3 *
*   113485 *       208427 *          566 *    842528631 * 696.35626220 * 227.38629150 *            5 *
*   113673 *       208429 *          176 *    198720889 * 605.24420166 * 242.37367248 *            3 *
*   113759 *       204554 *          107 *     87441857 * 681.27203369 * 228.30917358 *            5 *
*   114253 *       208487 *          273 *    455445512 * 792.52789306 * 203.46382141 *            3 *
*   114772 *       203894 *          622 *    698254398 * 837.23071289 * 364.84954834 *            4 *
*   117166 *       204577 *          739 *    878679836 * 616.01330566 * 570.90985107 *            3 *
*   117686 *       204601 *          427 *    523384393 * 528.12194824 * 289.03454589 *            4 *
*   118288 *       205111 *          360 *    504963777 * 1380.3166503 * 253.96910095 *            3 *
*   119349 *       205217 *          264 *    266727068 * 724.33685302 * 233.11872863 *            5 *
*   119592 *       205236 *          320 *    436247016 * 704.12652587 * 325.36080932 *            3 *
*   120660 *       205311 *          665 *    681842732 * 1162.4887695 * 222.05401611 *            4 *
*   120706 *       205311 *          855 *    839962145 * 600.23419189 * 398.74484252 *            5 *
*   120860 *       205339 *          198 *    256246481 * 879.97900390 * 295.58544921 *            5 *
******************************************************************************************************
==> 232 selected entries
